노드,Betweenness,소관위원회,Id,Label,Party,Reselection,District_Type,Gender,Role,Importance,Final_Importance
김기선,0.0013390733685924,행정안전위원회,김기선,김기선,자유한국당,재선,지역구,남,Representative,0.2058944226376191,0.0002757077380957439
김명연,0.0020242740931466,행정안전위원회,김명연,김명연,자유한국당,재선,지역구,남,Representative,0.1923901370296166,0.0003894503701659773
오영훈,0.0033725481677563,행정안전위원회,오영훈,오영훈,더불어민주당,초선,지역구,남,Representative,0.7649594424293005,0.002579862565972818
장정숙,0.0023194911914766,행정안전위원회,장정숙,장정숙,국민의당,초선,비례대표,여,Representative,1.0742364163183826,0.002491681905213878
전재수,0.001769688490126,행정안전위원회,전재수,전재수,더불어민주당,초선,지역구,남,Representative,0.2424661719200068,0.000429089593691748
황주홍,0.0260020016034055,행정안전위원회,황주홍,황주홍,국민의당,재선,지역구,남,Representative,1.2962987186817088,0.03370636136165429
정인화,0.0136230841085691,행정안전위원회,정인화,정인화,국민의당,초선,지역구,남,Representative,1.152650910093734,0.01570266029602566
김현권,0.0024025738595646,행정안전위원회,김현권,김현권,더불어민주당,초선,비례대표,남,Representative,0.6106213595945515,0.0014670629166536652
맹성규,0.0001568035680657,행정안전위원회,맹성규,맹성규,더불어민주당,초선,지역구,남,Representative,0.302559084695415,4.74423440309334e-05
박홍근,0.0036327743396032,행정안전위원회,박홍근,박홍근,더불어민주당,재선,지역구,남,Representative,0.4380480284960645,0.0015913296374342745
정성호,0.0058218575280277,행정안전위원회,정성호,정성호,더불어민주당,3선,지역구,남,Representative,0.9858607826855786,0.005739541019265317
이학재,0.0078717125720481,행정안전위원회,이학재,이학재,자유한국당,3선,지역구,남,Representative,1.0008889465537203,0.007878710103810898
김재경,0.0016321421522964,행정안전위원회,김재경,김재경,자유한국당,4선,지역구,남,Representative,0.1491019221549866,0.00024335553213757012
박지원,0.0027392355555527,행정안전위원회,박지원,박지원,국민의당,4선,지역구,남,Representative,0.7565970138970873,0.0020724974416919018
유성엽,0.0014152357926724,행정안전위원회,유성엽,유성엽,국민의당,3선,지역구,남,Representative,1.0788643249197116,0.001526847408063722
정유섭,0.0134847780476682,행정안전위원회,정유섭,정유섭,자유한국당,초선,지역구,남,Representative,0.4080188775728643,0.005502044003328779
홍일표,0.0026635983161165,행정안전위원회,홍일표,홍일표,자유한국당,3선,지역구,남,Representative,0.7569146892318556,0.0020161166916818143
강효상,0.0017675147851419,행정안전위원회,강효상,강효상,자유한국당,초선,비례대표,남,Representative,0.2888513821081876,0.0005105490885848941
김종석,0.000291665030692,행정안전위원회,김종석,김종석,자유한국당,초선,비례대표,남,Representative,0.1902354048834826,5.548501520404599e-05
임이자,0.0013581423182442,행정안전위원회,임이자,임이자,자유한국당,초선,비례대표,여,Representative,0.2625742813254558,0.00035661324315065926
안민석,0.0,행정안전위원회,안민석,안민석,더불어민주당,4선,지역구,남,Representative,0.6831934548821521,0.0
임재훈,0.0005881385245269,행정안전위원회,임재훈,임재훈,국민의당,초선,비례대표,남,Representative,1.0830349246445592,0.0006369745625915533
정세균,0.0,행정안전위원회,정세균,정세균,더불어민주당,6선,지역구,남,Representative,0.8298975517248326,0.0
김해영,0.0049705029423587,행정안전위원회,김해영,김해영,더불어민주당,초선,지역구,남,Representative,0.4741611749752225,0.0023568195153666014
신용현,0.0033008206809919,행정안전위원회,신용현,신용현,국민의당,초선,지역구,여,Representative,0.9729453901363904,0.0032115182652379297
안규백,0.0039945550636938,행정안전위원회,안규백,안규백,더불어민주당,3선,지역구,남,Representative,0.6009595071079386,0.002400565842192946
김성원,0.0088966457890653,행정안전위원회,김성원,김성원,자유한국당,초선,지역구,남,Representative,0.1487072947006423,0.0013229961272017623
권칠승,0.0031009574956824,행정안전위원회,권칠승,권칠승,더불어민주당,초선,지역구,남,Representative,0.3014891570605743,0.0009349050614539563
안호영,0.0015042265362449,행정안전위원회,안호영,안호영,더불어민주당,초선,지역구,남,Representative,0.3178846521149758,0.0004781705291763251
윤호중,0.0013376087670786,행정안전위원회,윤호중,윤호중,더불어민주당,3선,지역구,남,Representative,0.3826215742444835,0.0005117979721828365
강훈식,0.0029815311028293,행정안전위원회,강훈식,강훈식,더불어민주당,초선,지역구,남,Representative,0.371852456351433,0.001108689664275272
우원식,0.0013972855025402,행정안전위원회,우원식,우원식,더불어민주당,3선,지역구,남,Representative,0.2682558233303833,0.00037482997291152974
오신환,0.0010592502605023,행정안전위원회,오신환,오신환,자유한국당,재선,지역구,남,Representative,1.0828612536923172,0.0011470210650614341
김수민,0.0049466149655611,행정안전위원회,김수민,김수민,국민의당,초선,비례대표,여,Representative,1.362224448997969,0.006738399845866576
지상욱,0.0011087584702019,행정안전위원회,지상욱,지상욱,자유한국당,초선,지역구,남,Representative,0.7380939530534976,0.000818367922252869
권은희,0.0016730595398544,행정안전위원회,권은희,권은희,국민의당,재선,지역구,여,Representative,0.9101311635551772,0.0015227036257047745
김중로,0.0043291918737185,행정안전위원회,김중로,김중로,국민의당,초선,비례대표,남,Representative,1.0195617327999331,0.004413878368391823
유승민,0.0006011239131831,행정안전위원회,유승민,유승민,자유한국당,4선,지역구,남,Representative,1.0521010990735595,0.0006324431297393384
윤상현,0.0018979654765015,행정안전위원회,윤상현,윤상현,자유한국당,3선,지역구,남,Representative,0.2001655767502632,0.0003799073542560109
이혜훈,0.0013688613951821,행정안전위원회,이혜훈,이혜훈,자유한국당,3선,지역구,여,Representative,1.4755924567120928,0.002019881549015098
문희상,0.0051203584006643,행정안전위원회,문희상,문희상,더불어민주당,6선,지역구,남,Representative,0.6351751444405559,0.0032523243867293604
김경진,0.003860881387103,행정안전위원회,김경진,김경진,국민의당,초선,지역구,남,Representative,1.3711841868583572,0.005293979505331393
김성수,0.0013286493882141,행정안전위원회,김성수,김성수,더불어민주당,초선,비례대표,남,Representative,0.6300024830232042,0.0008370524136421442
김진표,0.0026383356337818,행정안전위원회,김진표,김진표,더불어민주당,4선,지역구,남,Representative,0.9058736267791744,0.0023899986692346507
김태년,0.000609773648134,행정안전위원회,김태년,김태년,더불어민주당,3선,지역구,남,Representative,0.3475258712280392,0.00021191211831966816
백재현,0.0068077648288676,행정안전위원회,백재현,백재현,더불어민주당,3선,지역구,남,Representative,0.5536257649582159,0.003768954011037463
서청원,0.0006619460116844,행정안전위원회,서청원,서청원,자유한국당,8선,지역구,남,Representative,0.2133277142020287,0.00014121142959778245
김학용,0.0026514426528534,행정안전위원회,김학용,김학용,자유한국당,3선,지역구,남,Representative,0.3347518226262136,0.0008875752606315587
김정재,0.0160779177520646,행정안전위원회,김정재,김정재,자유한국당,초선,지역구,여,Representative,0.2044480865242837,0.00328709951970442
송언석,0.0006839185009685,행정안전위원회,송언석,송언석,자유한국당,초선,지역구,남,Representative,0.1908856424447248,0.00013055022243720527
이만희,0.002281967829023,행정안전위원회,이만희,이만희,자유한국당,초선,지역구,남,Representative,0.3536107077628312,0.0008069282591128345
조원진,0.0002936019905318,행정안전위원회,조원진,조원진,자유한국당,3선,지역구,남,Representative,0.1561314852952748,4.584051486737915e-05
신상진,0.0051671248231993,행정안전위원회,신상진,신상진,자유한국당,4선,지역구,남,Representative,0.5170961526344651,0.0026719003662583987
여상규,0.0001431914130875,행정안전위원회,여상규,여상규,자유한국당,3선,지역구,남,Representative,0.179755435767015,2.573943485763822e-05
고용진,0.0034677748470028,행정안전위원회,고용진,고용진,더불어민주당,초선,지역구,남,Representative,0.4239737881662508,0.0014702456383914179
민홍철,0.0056077803870555,행정안전위원회,민홍철,민홍철,더불어민주당,재선,지역구,남,Representative,0.9609964146420744,0.00538905684606048
정은혜,0.0,행정안전위원회,정은혜,정은혜,더불어민주당,초선,비례대표,여,Representative,0.6448259909434018,0.0
최교일,0.0012840258307072,행정안전위원회,최교일,최교일,자유한국당,초선,지역구,남,Representative,0.095160296612104,0.00012218827890770036
박완수,0.0097062519977355,행정안전위원회,박완수,박완수,자유한국당,초선,지역구,남,Representative,0.320674965976727,0.0031125520291353697
박맹우,0.0020726113092781,행정안전위원회,박맹우,박맹우,자유한국당,재선,지역구,남,Representative,0.2150211852210185,0.000445655340223464
김광수,0.0011195173865247,행정안전위원회,김광수,김광수,국민의당,초선,지역구,남,Representative,0.7050580980902613,0.000789324799322085
김종회,0.0021211451450301,행정안전위원회,김종회,김종회,국민의당,초선,지역구,남,Representative,1.05317158253419,0.0022339297891760647
인재근,0.0036018759917763,행정안전위원회,인재근,인재근,더불어민주당,재선,지역구,여,Representative,0.4706617600587874,0.0016952652938029239
함진규,0.0064730213679111,행정안전위원회,함진규,함진규,자유한국당,재선,지역구,남,Representative,0.2078582495326021,0.0013454708907211308
김용태,0.0004199104612543,행정안전위원회,김용태,김용태,자유한국당,3선,지역구,남,Representative,0.121605698183563,5.106350481541113e-05
염동열,0.001433629401671,행정안전위원회,염동열,염동열,자유한국당,재선,지역구,남,Representative,0.2114928291135159,0.00030320233805971686
이학영,0.0009411245633473,행정안전위원회,이학영,이학영,더불어민주당,재선,지역구,남,Representative,0.3212334061727276,0.00030232064911687415
홍의락,0.0028893121959769,행정안전위원회,홍의락,홍의락,더불어민주당,재선,지역구,남,Representative,0.5274233799288646,0.0015238908040718264
오제세,0.0108610621013737,행정안전위원회,오제세,오제세,더불어민주당,4선,지역구,남,Representative,1.1845693642879889,0.012865681428916613
최인호,0.0011019785223595,행정안전위원회,최인호,최인호,더불어민주당,초선,지역구,남,Representative,0.1459769861531162,0.00016086350349950418
최재성,0.0013008559759399,행정안전위원회,최재성,최재성,더불어민주당,4선,지역구,남,Representative,0.0631784868170286,8.218611212677185e-05
김순례,0.0003225749894873,행정안전위원회,김순례,김순례,자유한국당,초선,비례대표,여,Representative,0.2162730117184349,6.976426448146085e-05
민경욱,0.0015588436440381,행정안전위원회,민경욱,민경욱,자유한국당,초선,지역구,남,Representative,0.073326278826337,0.00011430420368940094
유기준,0.0002707351571247,행정안전위원회,유기준,유기준,자유한국당,4선,지역구,남,Representative,0.2633017533080311,7.128504155305878e-05
이종명,0.0027557072450747,행정안전위원회,이종명,이종명,자유한국당,초선,비례대표,남,Representative,0.1302432569839321,0.00035891228689274775
이주영,0.001123675315484,행정안전위원회,이주영,이주영,자유한국당,5선,지역구,남,Representative,0.5651882414157886,0.0006350880754807334
강석진,0.0018714084643949,행정안전위원회,강석진,강석진,자유한국당,초선,지역구,남,Representative,0.6089939732328231,0.0011396764762733865
경대수,0.0029200141701245,행정안전위원회,경대수,경대수,자유한국당,재선,지역구,남,Representative,0.635460965905347,0.0018555550250046147
김선동,0.0003957411446686,행정안전위원회,김선동,김선동,자유한국당,재선,지역구,남,Representative,0.1938810024934638,7.672668985625906e-05
김재원,0.0011748766676178,행정안전위원회,김재원,김재원,자유한국당,3선,지역구,남,Representative,0.215473832424108,0.0002531551781972723
김정훈,0.0,행정안전위원회,김정훈,김정훈,자유한국당,4선,지역구,남,Representative,0.260541039338365,0.0
나경원,0.0015988188561629,행정안전위원회,나경원,나경원,자유한국당,4선,지역구,여,Representative,0.4570003286366014,0.0007306607426968405
박순자,0.0013554362972306,행정안전위원회,박순자,박순자,자유한국당,3선,지역구,여,Representative,0.4713721881542825,0.0006389149733293263
송석준,0.0033053959224099,행정안전위원회,송석준,송석준,자유한국당,초선,지역구,남,Representative,0.8824103424051088,0.0029167155476781705
신보라,0.0012125261608504,행정안전위원회,신보라,신보라,자유한국당,초선,비례대표,여,Representative,0.2403514969713895,0.00029143247787736544
유민봉,0.0033529118109519,행정안전위원회,유민봉,유민봉,자유한국당,초선,비례대표,남,Representative,0.2816932534582966,0.0009444926365857898
유재중,0.0094198084931533,행정안전위원회,유재중,유재중,자유한국당,3선,지역구,남,Representative,0.4969856333113908,0.00468150948964181
윤한홍,0.0006361370517063,행정안전위원회,윤한홍,윤한홍,자유한국당,초선,지역구,남,Representative,0.2622782919078764,0.0001668449393408408
이양수,0.0034050462213923,행정안전위원회,이양수,이양수,자유한국당,초선,지역구,남,Representative,0.8099604387683925,0.002757952731505564
이은재,0.0003091198436497,행정안전위원회,이은재,이은재,자유한국당,재선,지역구,여,Representative,0.0511753819484567,1.5819326066620616e-05
이장우,0.0010347213463682,행정안전위원회,이장우,이장우,자유한국당,재선,지역구,남,Representative,0.2676638759131752,0.00027695752605901144
이철규,0.0012287033421901,행정안전위원회,이철규,이철규,자유한국당,초선,지역구,남,Representative,0.4017209073035526,0.0004935958214315145
이헌승,0.0004234655084688,행정안전위원회,이헌승,이헌승,자유한국당,재선,지역구,남,Representative,0.1422055697125377,6.021915388541516e-05
이현재,0.0014975165702011,행정안전위원회,이현재,이현재,자유한국당,재선,지역구,남,Representative,0.2081669972188319,0.00031173352770420706
장석춘,0.00052365316487,행정안전위원회,장석춘,장석춘,자유한국당,초선,지역구,남,Representative,0.1436037583640525,7.519856255456284e-05
장제원,0.0035163097422011,행정안전위원회,장제원,장제원,자유한국당,재선,지역구,남,Representative,0.5900030223326368,0.002074633375356344
정양석,0.0002725816731208,행정안전위원회,정양석,정양석,자유한국당,재선,지역구,남,Representative,0.3859603071668061,0.00010520570628574592
정용기,0.0002917191012875,행정안전위원회,정용기,정용기,자유한국당,재선,지역구,남,Representative,0.1798568900906483,5.246769033760859e-05
정점식,1.9601987955519983e-05,행정안전위원회,정점식,정점식,자유한국당,초선,지역구,남,Representative,-0.0,-0.0
정진석,0.0,행정안전위원회,정진석,정진석,자유한국당,4선,지역구,남,Representative,0.2765017781360929,0.0
주광덕,0.0008679701806236,행정안전위원회,주광덕,주광덕,자유한국당,재선,지역구,남,Representative,0.2195218361538728,0.0001905384077773013
한선교,9.27549773230255e-05,행정안전위원회,한선교,한선교,자유한국당,4선,지역구,남,Representative,0.1186880320068769,1.1008905717312392e-05
이석현,0.0010464391942785,행정안전위원회,이석현,이석현,더불어민주당,6선,지역구,남,Representative,0.4261848158879266,0.00044597649535149284
박주민,0.0066678903639422,행정안전위원회,박주민,박주민,더불어민주당,초선,지역구,남,Representative,0.6441785729603295,0.004295312099300219
이재정,0.0020731407813726,행정안전위원회,이재정,이재정,더불어민주당,초선,비례대표,여,Representative,0.1297805327369249,0.00026905331504518075
박주선,0.0028390524025614,행정안전위원회,박주선,박주선,국민의당,4선,지역구,남,Representative,1.0117643014135882,0.002872451870754104
최도자,0.0082954046343085,행정안전위원회,최도자,최도자,국민의당,초선,비례대표,여,Representative,1.2596089727347155,0.010448966109840129
김동철,0.0043007755185023,행정안전위원회,김동철,김동철,국민의당,4선,지역구,남,Representative,1.2078444006959184,0.005194667628673088
이태규,0.0008152757282902,행정안전위원회,이태규,이태규,국민의당,초선,비례대표,남,Representative,1.2563599016081857,0.0010242797337782176
채이배,0.006032199335119,행정안전위원회,채이배,채이배,국민의당,초선,비례대표,남,Representative,1.231055717778328,0.007425973482276873
