대표발의자_정당,공동발의자_정당,협력지수,파일명,평균_혼합성지수
더불어민주당,자유한국당,0.025024796154097712,20대_소관위원회_산업통상자원중소벤처기업위원회.csv,0.10367170626349892
더불어민주당,정의당,0.055937385173294815,20대_소관위원회_산업통상자원중소벤처기업위원회.csv,0.10367170626349892
자유한국당,국민의당,0.04325323770611957,20대_소관위원회_산업통상자원중소벤처기업위원회.csv,0.10367170626349892
자유한국당,더불어민주당,0.02367746323489365,20대_소관위원회_산업통상자원중소벤처기업위원회.csv,0.10367170626349892
자유한국당,자유한국당,0.939890975573907,20대_소관위원회_산업통상자원중소벤처기업위원회.csv,0.10367170626349892
자유한국당,정의당,0.0061350847819359195,20대_소관위원회_산업통상자원중소벤처기업위원회.csv,0.10367170626349892
정의당,국민의당,0.01730680932974067,20대_소관위원회_산업통상자원중소벤처기업위원회.csv,0.10367170626349892
정의당,더불어민주당,0.04053790915043462,20대_소관위원회_산업통상자원중소벤처기업위원회.csv,0.10367170626349892
정의당,자유한국당,0.006813924445416923,20대_소관위원회_산업통상자원중소벤처기업위원회.csv,0.10367170626349892
정의당,정의당,0.4615930911724977,20대_소관위원회_산업통상자원중소벤처기업위원회.csv,0.10367170626349892
국민의당,국민의당,0.7085242925011499,20대_소관위원회_환경노동위원회.csv,0.12373633411097389
국민의당,더불어민주당,0.0969640844157321,20대_소관위원회_환경노동위원회.csv,0.12373633411097389
국민의당,자유한국당,0.05252303808784536,20대_소관위원회_환경노동위원회.csv,0.12373633411097389
국민의당,정의당,0.03363890276841835,20대_소관위원회_환경노동위원회.csv,0.12373633411097389
더불어민주당,국민의당,0.10940526470376265,20대_소관위원회_환경노동위원회.csv,0.12373633411097389
더불어민주당,더불어민주당,0.913103280984108,20대_소관위원회_환경노동위원회.csv,0.12373633411097389
더불어민주당,자유한국당,0.017883500398467506,20대_소관위원회_환경노동위원회.csv,0.12373633411097389
더불어민주당,정의당,0.09279256487404416,20대_소관위원회_환경노동위원회.csv,0.12373633411097389
자유한국당,국민의당,0.04828238864410868,20대_소관위원회_환경노동위원회.csv,0.12373633411097389
자유한국당,더불어민주당,0.025645304083536293,20대_소관위원회_환경노동위원회.csv,0.12373633411097389
자유한국당,자유한국당,0.9290061414461008,20대_소관위원회_환경노동위원회.csv,0.12373633411097389
자유한국당,정의당,0.006288826227841187,20대_소관위원회_환경노동위원회.csv,0.12373633411097389
정의당,국민의당,0.037664927257922275,20대_소관위원회_환경노동위원회.csv,0.12373633411097389
정의당,더불어민주당,0.09126342230892832,20대_소관위원회_환경노동위원회.csv,0.12373633411097389
정의당,자유한국당,0.0026485636718621406,20대_소관위원회_환경노동위원회.csv,0.12373633411097389
정의당,정의당,0.5004009802382039,20대_소관위원회_환경노동위원회.csv,0.12373633411097389
국민의당,국민의당,0.6953084351135109,20대_소관위원회_교육위원회.csv,0.11107921928817452
국민의당,더불어민주당,0.08626991817005707,20대_소관위원회_교육위원회.csv,0.11107921928817452
국민의당,자유한국당,0.044452888340111865,20대_소관위원회_교육위원회.csv,0.11107921928817452
국민의당,정의당,0.008998425413316951,20대_소관위원회_교육위원회.csv,0.11107921928817452
더불어민주당,국민의당,0.13405226717365237,20대_소관위원회_교육위원회.csv,0.11107921928817452
