Id,Label,Party,Reselection,District_Type,Gender,Role
이양수,이양수,자유한국당,초선,지역구,남,Representative
심상정,심상정,정의당,3선,지역구,여,Representative
곽대훈,곽대훈,자유한국당,초선,지역구,남,Representative
심재권,심재권,더불어민주당,3선,지역구,남,Representative
정운천,정운천,바른미래당,초선,지역구,남,Representative
전희경,전희경,자유한국당,초선,비례대표,여,Representative
이학재,이학재,바른미래당,3선,지역구,남,Representative
정춘숙,정춘숙,더불어민주당,초선,비례대표,여,Representative
성일종,성일종,자유한국당,초선,지역구,남,Representative
이훈,이훈,더불어민주당,초선,지역구,남,Representative
이용득,이용득,더불어민주당,초선,비례대표,남,Representative
서삼석,서삼석,더불어민주당,초선,지역구,남,Representative
이군현,이군현,자유한국당,4선,지역구,남,Representative
권성동,권성동,자유한국당,3선,지역구,남,Representative
김현권,김현권,더불어민주당,초선,비례대표,남,Representative
정진석,정진석,자유한국당,4선,지역구,남,Representative
정성호,정성호,더불어민주당,3선,지역구,남,Representative
이동섭,이동섭,바른미래당,초선,비례대표,남,Representative
김선동,김선동,자유한국당,재선,지역구,남,Representative
강석진,강석진,자유한국당,초선,지역구,남,Representative
이채익,이채익,자유한국당,재선,지역구,남,Representative
안민석,안민석,더불어민주당,4선,지역구,남,Representative
정재호,정재호,더불어민주당,초선,지역구,남,Representative
김병기,김병기,더불어민주당,초선,지역구,남,Representative
홍문표,홍문표,자유한국당,3선,지역구,남,Representative
김태흠,김태흠,자유한국당,재선,지역구,남,Representative
박주현,박주현,바른미래당,초선,비례대표,여,Representative
김경진,김경진,민주평화당,초선,지역구,남,Representative
권석창,권석창,자유한국당,초선,지역구,남,Co-Sponsor
전재수,전재수,더불어민주당,초선,지역구,남,Representative
이석현,이석현,더불어민주당,6선,지역구,남,Representative
김성찬,김성찬,자유한국당,재선,지역구,남,Representative
천정배,천정배,민주평화당,6선,지역구,남,Representative
이개호,이개호,더불어민주당,재선,지역구,남,Representative
황주홍,황주홍,민주평화당,재선,지역구,남,Representative
백혜련,백혜련,더불어민주당,초선,지역구,여,Representative
안규백,안규백,더불어민주당,3선,지역구,남,Representative
제윤경,제윤경,더불어민주당,초선,비례대표,여,Representative
유기준,유기준,자유한국당,4선,지역구,남,Representative
박용진,박용진,더불어민주당,초선,지역구,남,Representative
김종민,김종민,더불어민주당,초선,지역구,남,Representative
민홍철,민홍철,더불어민주당,재선,지역구,남,Representative
이완영,이완영,자유한국당,재선,지역구,남,Representative
윤상직,윤상직,자유한국당,초선,지역구,남,Representative
추미애,추미애,더불어민주당,5선,지역구,여,Representative
박인숙,박인숙,자유한국당,재선,지역구,여,Representative
이태규,이태규,바른미래당,초선,비례대표,남,Representative
주승용,주승용,바른미래당,4선,지역구,남,Representative
윤일규,윤일규,더불어민주당,초선,지역구,남,Representative
나경원,나경원,자유한국당,4선,지역구,여,Representative
김종훈,김종훈,더불어민주당,초선,지역구,남,Representative
