Source,Target,Source_Party,Target_Party,Source_Reselection,Target_Reselection,Source_District_Type,Target_District_Type,Source_Gender,Target_Gender,Source_Role,Target_Role
김규환,송석준,자유한국당,자유한국당,초선,초선,비례대표,지역구,남,남,Co-Sponsor,Representative
김도읍,송석준,자유한국당,자유한국당,재선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
김상훈,송석준,자유한국당,자유한국당,재선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
김종회,송석준,국민의당,자유한국당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
박덕흠,송석준,자유한국당,자유한국당,재선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
박순자,송석준,자유한국당,자유한국당,3선,초선,지역구,지역구,여,남,Co-Sponsor,Representative
박완수,송석준,자유한국당,자유한국당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
송석준,엄용수,자유한국당,자유한국당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
송석준,여상규,자유한국당,자유한국당,초선,3선,지역구,지역구,남,남,Representative,Co-Sponsor
송석준,이만희,자유한국당,자유한국당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
송석준,이은권,자유한국당,자유한국당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
송석준,이진복,자유한국당,자유한국당,초선,3선,지역구,지역구,남,남,Representative,Co-Sponsor
송석준,장석춘,자유한국당,자유한국당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
송석준,최교일,자유한국당,자유한국당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
김병기,신창현,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
노웅래,신창현,더불어민주당,더불어민주당,3선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
맹성규,신창현,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
박정,신창현,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
서삼석,신창현,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
서영교,신창현,더불어민주당,더불어민주당,재선,초선,지역구,지역구,여,남,Co-Sponsor,Representative
설훈,신창현,더불어민주당,더불어민주당,4선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
신창현,윤일규,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
신창현,윤준호,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
신창현,한정애,더불어민주당,더불어민주당,초선,재선,지역구,지역구,남,여,Representative,Co-Sponsor
김경진,이찬열,국민의당,더불어민주당,초선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
