Id,Label,Party,Reselection,District_Type,Gender,Role
김동아,김동아,더불어민주당,초선,지역구,남,Representative
배현진,배현진,국민의힘,재선,지역구,여,Representative
서영석,서영석,더불어민주당,재선,지역구,남,Representative
염태영,염태영,더불어민주당,초선,지역구,남,Representative
박대출,박대출,국민의힘,4선,지역구,남,Representative
최기상,최기상,더불어민주당,재선,지역구,남,Representative
진종오,진종오,국민의힘,초선,비례대표,남,Representative
정성국,정성국,국민의힘,초선,지역구,남,Representative
전진숙,전진숙,더불어민주당,초선,지역구,여,Representative
송기헌,송기헌,더불어민주당,3선,지역구,남,Representative
김종민,김종민,새로운미래,3선,지역구,남,Representative
최형두,최형두,국민의힘,재선,지역구,남,Representative
어기구,어기구,더불어민주당,3선,지역구,남,Representative
정연욱,정연욱,국민의힘,초선,지역구,남,Representative
서지영,서지영,국민의힘,초선,지역구,여,Representative
김소희,김소희,국민의힘,초선,비례대표,여,Representative
한창민,한창민,더불어민주당,초선,비례대표,남,Representative
천준호,천준호,더불어민주당,재선,지역구,남,Representative
박충권,박충권,국민의힘,초선,비례대표,남,Representative
최수진,최수진,국민의힘,초선,비례대표,여,Representative
고민정,고민정,더불어민주당,재선,지역구,여,Representative
성일종,성일종,국민의힘,3선,지역구,남,Representative
엄태영,엄태영,국민의힘,재선,지역구,남,Representative
이재정,이재정,더불어민주당,3선,지역구,여,Representative
김정재,김정재,국민의힘,3선,지역구,여,Representative
이원택,이원택,더불어민주당,재선,지역구,남,Representative
김준혁,김준혁,더불어민주당,초선,지역구,남,Representative
김은혜,김은혜,국민의힘,재선,지역구,여,Representative
김정호,김정호,더불어민주당,3선,지역구,남,Representative
박정훈,박정훈,국민의힘,초선,지역구,남,Representative
박정하,박정하,국민의힘,재선,지역구,남,Representative
김상욱,김상욱,국민의힘,초선,지역구,남,Representative
박준태,박준태,국민의힘,초선,비례대표,남,Representative
김준형,김준형,조국혁신당,초선,비례대표,남,Representative
서미화,서미화,더불어민주당,초선,비례대표,여,Representative
맹성규,맹성규,더불어민주당,3선,지역구,남,Representative
서삼석,서삼석,더불어민주당,3선,지역구,남,Representative
우재준,우재준,국민의힘,초선,지역구,남,Representative
김현정,김현정,더불어민주당,초선,지역구,남,Representative
강명구,강명구,국민의힘,초선,지역구,남,Representative
안철수,안철수,국민의힘,4선,지역구,남,Representative
김주영,김주영,더불어민주당,재선,지역구,남,Representative
이인영,이인영,더불어민주당,5선,지역구,남,Representative
이학영,이학영,더불어민주당,4선,지역구,남,Representative
우원식,우원식,더불어민주당,5선,지역구,남,Co-Sponsor
이춘석,이춘석,더불어민주당,4선,지역구,남,Representative
이주영,이주영,개혁신당,초선,비례대표,여,Representative
송재봉,송재봉,더불어민주당,초선,지역구,남,Representative
복기왕,복기왕,더불어민주당,재선,지역구,남,Representative
임호선,임호선,더불어민주당,재선,지역구,남,Representative
유동수,유동수,더불어민주당,3선,지역구,남,Representative
차규근,차규근,조국혁신당,초선,비례대표,남,Representative
천하람,천하람,개혁신당,초선,비례대표,남,Representative
서영교,서영교,더불어민주당,4선,지역구,여,Representative
박수민,박수민,국민의힘,초선,지역구,남,Representative
강준현,강준현,더불어민주당,재선,지역구,남,Representative
김건,김건,국민의힘,초선,비례대표,남,Representative
이해민,이해민,조국혁신당,초선,비례대표,여,Representative
문대림,문대림,더불어민주당,초선,지역구,남,Representative
장종태,장종태,더불어민주당,초선,지역구,남,Representative
한병도,한병도,더불어민주당,3선,지역구,남,Representative
박지원,박지원,더불어민주당,5선,지역구,남,Representative
김용민,김용민,더불어민주당,재선,지역구,남,Representative
김문수,김문수,더불어민주당,초선,지역구,남,Representative
임미애,임미애,더불어민주당,초선,비례대표,여,Representative
신영대,신영대,더불어민주당,재선,지역구,남,Representative
김종양,김종양,국민의힘,초선,지역구,남,Representative
위성곤,위성곤,더불어민주당,3선,지역구,남,Representative
정동영,정동영,더불어민주당,5선,지역구,남,Representative
강선우,강선우,더불어민주당,재선,지역구,여,Representative
장철민,장철민,더불어민주당,재선,지역구,남,Representative
정을호,정을호,더불어민주당,초선,비례대표,남,Representative
김현,김현,더불어민주당,재선,지역구,여,Representative
강경숙,강경숙,조국혁신당,초선,비례대표,여,Representative
김형동,김형동,국민의힘,재선,지역구,남,Representative
조승환,조승환,국민의힘,초선,지역구,남,Representative
김기현,김기현,국민의힘,5선,지역구,남,Representative
윤건영,윤건영,더불어민주당,재선,지역구,남,Representative
박균택,박균택,더불어민주당,초선,지역구,남,Representative
윤준병,윤준병,더불어민주당,재선,지역구,남,Representative
박성준,박성준,더불어민주당,재선,지역구,남,Representative
