Id,Label,Party,Reselection,District_Type,Gender,Role
이태규,이태규,국민의당,재선,비례대표,남,Representative
김근태,김근태,국민의힘,초선,비례대표,남,Representative
김희국,김희국,국민의힘,재선,지역구,남,Representative
양이원영,양이원영,더불어민주당,초선,비례대표,여,Representative
이명수,이명수,국민의힘,4선,지역구,남,Representative
최형두,최형두,국민의힘,초선,지역구,남,Representative
김은희,김은희,국민의힘,초선,비례대표,여,Representative
인재근,인재근,더불어민주당,3선,지역구,여,Representative
이용호,이용호,국민의힘,재선,지역구,남,Representative
구자근,구자근,국민의힘,초선,지역구,남,Representative
김진표,김진표,더불어민주당,5선,지역구,남,Representative
이용빈,이용빈,더불어민주당,초선,지역구,남,Representative
이재명,이재명,더불어민주당,초선,지역구,남,Representative
김두관,김두관,더불어민주당,재선,지역구,남,Representative
홍준표,홍준표,국민의힘,5선,지역구,남,Representative
최인호,최인호,더불어민주당,재선,지역구,남,Representative
정정순,정정순,더불어민주당,초선,지역구,남,Representative
고용진,고용진,더불어민주당,재선,지역구,남,Representative
김성환,김성환,더불어민주당,재선,지역구,남,Representative
홍석준,홍석준,국민의힘,초선,지역구,남,Representative
박찬대,박찬대,더불어민주당,재선,지역구,남,Representative
박진,박진,국민의힘,4선,지역구,남,Representative
이용선,이용선,더불어민주당,초선,지역구,남,Representative
주철현,주철현,더불어민주당,초선,지역구,남,Representative
이형석,이형석,더불어민주당,초선,지역구,남,Representative
신영대,신영대,더불어민주당,초선,지역구,남,Representative
송언석,송언석,국민의힘,재선,지역구,남,Representative
조수진,조수진,국민의힘,초선,비례대표,여,Representative
백종헌,백종헌,국민의힘,초선,지역구,남,Representative
박완주,박완주,더불어민주당,3선,지역구,남,Representative
윤후덕,윤후덕,더불어민주당,3선,지역구,남,Representative
강준현,강준현,더불어민주당,초선,지역구,남,Representative
박재호,박재호,더불어민주당,재선,지역구,남,Representative
정찬민,정찬민,국민의힘,초선,지역구,남,Representative
김승남,김승남,더불어민주당,재선,지역구,남,Representative
진성준,진성준,더불어민주당,재선,지역구,남,Representative
박상혁,박상혁,더불어민주당,초선,지역구,남,Representative
김윤덕,김윤덕,더불어민주당,재선,지역구,남,Representative
이탄희,이탄희,더불어민주당,초선,지역구,남,Representative
홍기원,홍기원,더불어민주당,초선,지역구,남,Representative
박형수,박형수,국민의힘,초선,지역구,남,Representative
윤재갑,윤재갑,더불어민주당,초선,지역구,남,Representative
이장섭,이장섭,더불어민주당,초선,지역구,남,Representative
권칠승,권칠승,더불어민주당,재선,지역구,남,Representative
송영길,송영길,더불어민주당,5선,지역구,남,Representative
유정주,유정주,더불어민주당,초선,비례대표,여,Representative
김석기,김석기,국민의힘,재선,지역구,남,Representative
박정하,박정하,국민의힘,초선,지역구,남,Representative
