노드,Betweenness,소관위원회
강성희,0.00011543229970194892,법제사법위원회
김민석,0.0049661660220075106,법제사법위원회
도종환,0.0011682667363796596,법제사법위원회
김영주,0.0020291996243944088,법제사법위원회
하태경,0.008018745302097082,법제사법위원회
한정애,0.0011125655490359613,법제사법위원회
인재근,0.012119978199290105,법제사법위원회
윤주경,0.0009425600904987611,법제사법위원회
서병수,0.0007640390199170297,법제사법위원회
조명희,0.001052308804213251,법제사법위원회
조수진,0.026390598763440184,법제사법위원회
서일준,0.021089139156032367,법제사법위원회
윤창현,0.0010327260601501842,법제사법위원회
배준영,0.010333962265692281,법제사법위원회
이헌승,0.004222056730327404,법제사법위원회
강기윤,0.0032618120004353655,법제사법위원회
허종식,0.002003854679259353,법제사법위원회
최춘식,0.0005077383462199642,법제사법위원회
이종성,0.006660701298105814,법제사법위원회
윤상현,0.01484902300589672,법제사법위원회
박찬대,0.000785045431222467,법제사법위원회
강대식,0.00409780011897656,법제사법위원회
조경태,0.011482542710860657,법제사법위원회
유동수,0.004896123797384919,법제사법위원회
이성만,0.011426681395188359,법제사법위원회
노용호,0.00012239758277065918,법제사법위원회
김두관,0.004872678317793883,법제사법위원회
이원택,0.00033949453970546356,법제사법위원회
우상호,0.0,법제사법위원회
조정식,0.0004942369627447738,법제사법위원회
고영인,0.0037999208798609545,법제사법위원회
노웅래,0.0011237122376667578,법제사법위원회
박정,0.0025056933761308364,법제사법위원회
강득구,0.00289081968015039,법제사법위원회
허숙정,0.0,법제사법위원회
박주민,0.011719348305981031,법제사법위원회
강선우,0.005626529726058892,법제사법위원회
강준현,0.004155347831737477,법제사법위원회
강훈식,0.0034384757620156306,법제사법위원회
고민정,0.0018185012300653372,법제사법위원회
고용진,0.000617727518968426,법제사법위원회
권인숙,0.005633666734682576,법제사법위원회
권칠승,0.0053834847208707685,법제사법위원회
기동민,0.002783295191973017,법제사법위원회
김경만,0.0,법제사법위원회
김경협,0.0016785287854022232,법제사법위원회
김교흥,0.0008870614585510568,법제사법위원회
김민기,0.003778350355928601,법제사법위원회
김민철,0.0022315185486261996,법제사법위원회
김병기,0.00194258133430463,법제사법위원회
김병주,0.00020982496719116267,법제사법위원회
김상희,0.0021096398133556905,법제사법위원회
김성주,0.0,법제사법위원회
김성환,0.0,법제사법위원회
김수흥,0.0,법제사법위원회
김승남,0.0007989952764215737,법제사법위원회
김승원,0.005296333969925805,법제사법위원회
김영배,0.005705700586341731,법제사법위원회
김영진,0.0009375992352091504,법제사법위원회
김영호,0.005704499163873928,법제사법위원회
김용민,0.003589183940133711,법제사법위원회
김원이,0.0006777467998391269,법제사법위원회
김윤덕,0.0,법제사법위원회
김의겸,0.0006155783990197868,법제사법위원회
김정호,0.0022369634366752795,법제사법위원회
김주영,0.001525141323893331,법제사법위원회
김철민,0.001846068509482791,법제사법위원회
김태년,0.0001571202533506708,법제사법위원회
김한규,0.0,법제사법위원회
김한정,0.0,법제사법위원회
김회재,0.003637270834953543,법제사법위원회
남인순,0.004499046171670284,법제사법위원회
맹성규,0.0012137693176508002,법제사법위원회
문정복,0.0,법제사법위원회
문진석,0.005311453129377682,법제사법위원회
민병덕,0.005295459820200593,법제사법위원회
민형배,0.007968299886522508,법제사법위원회
민홍철,0.002283552952411805,법제사법위원회
박광온,0.0005053256327817925,법제사법위원회
박범계,0.0008296998402094854,법제사법위원회
박병석,0.0,법제사법위원회
박상혁,0.021212533242210486,법제사법위원회
박성준,0.0035006436091446036,법제사법위원회
박재호,0.0012259258074775207,법제사법위원회
박홍근,0.005516148072395211,법제사법위원회
백혜련,0.012044369343122991,법제사법위원회
변재일,0.00024491538252401855,법제사법위원회
서동용,0.0011277150561188514,법제사법위원회
서삼석,0.0006434994396132494,법제사법위원회
서영교,0.01639018150440914,법제사법위원회
서영석,0.004604059482297175,법제사법위원회
소병철,0.0035148208172160285,법제사법위원회
소병훈,0.0030414620080707003,법제사법위원회
송갑석,0.002001912398467614,법제사법위원회
송기헌,0.0017210592549320447,법제사법위원회
송옥주,0.0014788918808028052,법제사법위원회
송재호,0.0027261120370662877,법제사법위원회
신동근,0.007000059228236809,법제사법위원회
신영대,0.0012764905329077463,법제사법위원회
신정훈,0.006299075606267818,법제사법위원회
신현영,0.0011201675902564486,법제사법위원회
안규백,0.02917679602203003,법제사법위원회
안민석,0.0004471651164348179,법제사법위원회
안호영,0.0011507790146518056,법제사법위원회
양경숙,0.002591682252203614,법제사법위원회
양기대,0.0010265663129720689,법제사법위원회
어기구,0.00023683188236260958,법제사법위원회
오기형,0.0005930327178319589,법제사법위원회
우원식,0.0013828722214538952,법제사법위원회
위성곤,0.0029306864237701293,법제사법위원회
유기홍,0.0002513059048007405,법제사법위원회
유정주,0.0030234956213547205,법제사법위원회
윤건영,0.0019390446294400253,법제사법위원회
윤영찬,0.0023836015248252305,법제사법위원회
윤재갑,0.013148923010172849,법제사법위원회
윤준병,0.006261433745453953,법제사법위원회
윤호중,0.00045410100296088885,법제사법위원회
윤후덕,0.001658070957902992,법제사법위원회
이개호,0.002691872324042031,법제사법위원회
이동주,0.004592386675199851,법제사법위원회
이병훈,0.008746236104824638,법제사법위원회
이소영,0.0034832491503494502,법제사법위원회
이용빈,0.005175546478459199,법제사법위원회
이용선,0.0015735666113921116,법제사법위원회
이인영,0.0005293507255250158,법제사법위원회
이장섭,0.0006834657893968524,법제사법위원회
이재명,0.0,법제사법위원회
이재정,0.00437208270949749,법제사법위원회
이정문,0.0007833258427125382,법제사법위원회
이학영,0.0031814230160040553,법제사법위원회
